eigen_max,pages_max,degcen_max,bet_max,avg_max,newman_max,vote_min,clusters
NA,NA,NA,NA,NA,NA,NA,1
NA,NA,NA,NA,NA,NA,NA,0
-0.6398103909467155,-0.8521843599308103,-0.708451889403158,-0.5831242920902227,-0.6431687044498847,-0.6266539706862294,-0.6266539706862294,0
NA,NA,NA,NA,NA,NA,NA,0
-0.6468930706561584,-0.8359053070867751,-0.6977251621245177,-0.5739270244196668,-0.7970149323127812,-0.5038152533105046,-0.5038152533105046,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
2.094312338120971,2.9320940660999955,3.5544932014449504,3.8816967168045937,1.0399377846744766,1.4175266699470066,1.4175266699470066,0
NA,NA,NA,NA,NA,NA,NA,0
-0.4678554664685351,0.016218558330016838,-0.03662585795142727,0.4320627768477545,-0.13159405142541206,0.4967200872802002,0.4967200872802002,0
NA,NA,NA,NA,NA,NA,NA,0
-0.5035073018017654,-0.5896192802133507,-0.4286653532363892,-0.5059745512519527,1.0112036006350948,0.44638672946282787,0.44638672946282787,0
-0.652352411699402,-0.7931947133746917,-0.7053636617587524,-0.5461653561188918,-1.0529460403463848,-0.7730422366148864,-0.7730422366148864,0
-0.4741898671762567,-0.5018440422222319,-0.48184926484796753,-0.5261750494301372,-0.3759226158217323,0.06394486592334081,0.06394486592334081,0
NA,NA,NA,NA,NA,NA,NA,0
-0.4847325542815659,-0.6022277031996761,-0.5684209642372605,-0.6026190030574072,-0.23832102071454533,0.15132770301446802,0.15132770301446802,0
NA,NA,NA,NA,NA,NA,NA,0
0.6198285983651072,0.491185446132446,0.44250858620893746,0.18909329059795882,1.3625835186224582,0.6510400745464228,0.6510400745464228,0
0.04059846252648241,0.5449898382368499,0.8276703972282723,-0.09160989942864063,0.568587621747119,0.9240106520257141,0.9240106520257141,0
NA,NA,NA,NA,NA,NA,NA,1
-0.6533595589435274,-0.8328695918277934,-0.7171339542049897,-0.6087685282561822,-1.173722518294827,-0.6513057758485941,-0.6513057758485941,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
-0.652642384955346,-0.8740675159170517,-0.7182401070905393,-0.6087685282561822,-0.9580502362440374,-0.7487823341288232,-0.7487823341288232,0
-0.6518503341373005,-0.8011020410327355,-0.7018206118606007,-0.602665331276657,-1.031378812141306,-0.7877061101453956,-0.7877061101453956,0
-0.2547674679033564,-0.587175209695841,-0.4204510745493447,-0.5967763124438087,0.9647879761732242,0.3757394991104314,0.3757394991104314,0
-0.6532385814088103,-0.9055080102325357,-0.7268244039783973,-0.6087685282561822,-0.9149157798338795,-0.8677297922261324,-0.8677297922261324,0
-0.6535079593671652,-0.6968718314024673,-0.7079668626066296,-0.5508800705350674,-1.2384242029100638,-0.7827685669056043,-0.7827685669056043,0
NA,NA,NA,NA,NA,NA,NA,0
0.9540717257175642,0.5507789141636735,0.3380258842223917,-0.2891306133331684,0.02466520544825578,0.8121007034262886,0.8121007034262886,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,NA,NA,NA,NA,0
