"","x"
"361","9281.0"
"362","9289.0"
"363","9326.0"
"364","9336.0"
"365","9407.0"
"366","9411.0"
"367","9412.0"
"368","9423.0"
"369","9427.0"
"370","9449.0"
"371","9570.0"
"372","9577.0"
"373","9603.0"
"374","9611.0"
"375","9694.0"
"376","9707.0"
"377","9710.0"
"378","9715.0"
"379","9718.0"
"380","9727.0"
"381","9756.0"
"382","9761.0"
"383","9798.0"
"384","9812.0"
"385","9840.0"
"386","9844.0"
"387","9855.0"
"388","9895.0"
"389","9988.0"
"390","10052.0"
"391","10085.0"
"392","10128.0"
"393","10219.0"
"394","10236.0"
"395","10238.0"
"396","10241.0"
"397","10245.0"
"398","10246.0"
"399","10253.0"
"400","10287.0"
"401","10358.0"
"402","10366.0"
"403","10371.0"
"404","10391.0"
"405","10465.0"
"406","10470.0"
"407","10518.0"
"408","10546.0"
"409","10571.0"
"410","10630.0"
"411","10653.0"
"412","10688.0"
"413","10704.0"
"414","10723.0"
"415","10728.0"
"416","10780.0"
"417","10861.0"
"418","10866.0"
"419","10871.0"
"420","10876.0"
"421","10879.0"
"422","10896.0"
"423","10900.0"
"424","10913.0"
"425","10915.0"
"426","10917.0"
"427","10923.0"
"428","10927.0"
"429","10929.0"
"430","10936.0"
"431","10937.0"
"432","10942.0"
"433","10947.0"
"434","10958.0"
"435","10969.0"
"436","10974.0"
"437","10975.0"
"438","10980.0"
"439","10983.0"
"440","11002.0"
"441","11012.0"
"442","11021.0"
"443","11033.0"
"444","11034.0"
"445","11045.0"
"446","11055.0"
"447","11061.0"
"448","11069.0"
"449","11077.0"
"450","11078.0"
"451","11091.0"
"452","11102.0"
"453","11103.0"
"454","11108.0"
"455","11118.0"
"456","11126.0"
"457","11127.0"
"458","11132.0"
"459","11145.0"
"460","11152.0"
"461","11163.0"
"462","11168.0"
"463","11191.0"
"464","11195.0"
"465","11199.0"
"466","11203.0"
"467","11206.0"
"468","11214.0"
"469","11224.0"
"470","11226.0"
"471","11227.0"
"472","11231.0"
"473","11232.0"
"474","11234.0"
"475","11240.0"
"476","11242.0"
"477","11246.0"
"478","11247.0"
"479","11249.0"
"480","11256.0"
"481","11266.0"
"482","11270.0"
"483","11282.0"
"484","11288.0"
"485","11300.0"
"486","11315.0"
"487","11329.0"
"488","11334.0"
"489","11347.0"
"490","11649.0"
"491","11721.0"
"492","12327.0"
"493","12467.0"
"494","12468.0"
"495","12538.0"
"496","12539.0"
"497","12540.0"
"498","12542.0"
"499","12553.0"
"500","12573.0"
"501","12575.0"
"502","12581.0"
"503","12591.0"
"504","12624.0"
"505","12627.0"
"506","12663.0"
"507","12680.0"
"508","12708.0"
"509","12715.0"
"510","12716.0"
"511","12729.0"
"512","12749.0"
"513","12753.0"
"514","12755.0"
"515","12778.0"
"516","12784.0"
"517","12791.0"
"518","12813.0"
"519","12847.0"
"520","12876.0"
"521","12890.0"
"522","12893.0"
"523","12908.0"
"524","12960.0"
"525","12985.0"
"526","13007.0"
"527","13012.0"
"528","13027.0"
"529","13028.0"
"530","13058.0"
"531","13068.0"
"532","13083.0"
"533","13116.0"
"534","13118.0"
"535","13130.0"
"536","13133.0"
"537","13223.0"
"538","13224.0"
"539","13243.0"
"540","13251.0"
"541","13254.0"
"542","13256.0"
"543","13264.0"
"544","13266.0"
"545","13268.0"
"546","13269.0"
"547","13272.0"
"548","13273.0"
"549","13278.0"
"550","13295.0"
"551","13334.0"
"552","13345.0"
"553","13382.0"
"554","13419.0"
"555","13432.0"
"556","13438.0"
"557","13444.0"
"558","13452.0"
"559","13462.0"
"560","13492.0"
"561","13524.0"
"562","13530.0"
"563","13565.0"
"564","13570.0"
"565","13605.0"
"566","13607.0"
"567","13611.0"
"568","13643.0"
"569","13649.0"
"570","13796.0"
"571","13849.0"
"572","13940.0"
"573","13983.0"
"574","13986.0"
"575","13990.0"
"576","14010.0"
"577","14013.0"
"578","14030.0"
"579","14044.0"
"580","14053.0"
"581","14059.0"
"582","14090.0"
"583","14095.0"
"584","14101.0"
"585","14110.0"
"586","14127.0"
"587","14136.0"
"588","14147.0"
"589","14148.0"
"590","14180.0"
"591","14185.0"
"592","14194.0"
"593","14196.0"
"594","14201.0"
"595","14211.0"
"596","14217.0"
"597","14223.0"
"598","14228.0"
"599","14237.0"
"600","14246.0"
"601","14260.0"
"602","14263.0"
"603","14288.0"
"604","14305.0"
"605","14330.0"
"606","14335.0"
"607","14349.0"
"608","14362.0"
"609","14363.0"
"610","14378.0"
"611","14403.0"
"612","14412.0"
"613","14417.0"
"614","14455.0"
"615","14529.0"
"616","14581.0"
"617","14587.0"
"618","14588.0"
"619","14608.0"
"620","14622.0"
"621","14704.0"
"622","14728.0"
"623","14753.0"
"624","14768.0"
"625","14770.0"
"626","14782.0"
"627","14788.0"
"628","14789.0"
"629","14831.0"
"630","14885.0"
"631","14916.0"
"632","14917.0"
"633","14920.0"
"634","14929.0"
"635","14937.0"
"636","14943.0"
"637","14953.0"
"638","14956.0"
"639","14959.0"
"640","14960.0"
"641","14963.0"
"642","14964.0"
"643","14978.0"
"644","14981.0"
"645","14985.0"
"646","15162.0"
"647","15165.0"
"648","15175.0"
"649","15176.0"
"650","15181.0"
"651","15183.0"
"652","15196.0"
"653","15265.0"
"654","15281.0"
"655","15294.0"
"656","15295.0"
"657","15308.0"
"658","15316.0"
"659","15317.0"
"660","15405.0"
"661","15419.0"
"662","15450.0"
"663","15457.0"
"664","15531.0"
"665","15536.0"
"666","15594.0"
"667","15601.0"
"668","15617.0"
"669","15639.0"
"670","15662.0"
"671","15665.0"
"672","15700.0"
"673","15701.0"
"674","15711.0"
"675","15786.0"
"676","15928.0"
"677","15929.0"
"678","15934.0"
"679","15935.0"
"680","15936.0"
"681","15943.0"
"682","15944.0"
"683","15945.0"
"684","15946.0"
"685","15954.0"
"686","15960.0"
"687","15961.0"
"688","15963.0"
"689","15966.0"
"690","15967.0"
"691","15969.0"
"692","15972.0"
"693","15976.0"
"694","15977.0"
"695","15983.0"
"696","15984.0"
