,Funding type
4230,Venture - Series Unknown
4231,Venture - Series Unknown
4232,Venture - Series Unknown
4233,Series A
4234,Venture - Series Unknown
4235,Seed
4236,Venture - Series Unknown
4237,Series A
4238,Series A
4239,Venture - Series Unknown
4240,Venture - Series Unknown
4241,Venture - Series Unknown
4242,Series A
4243,Angel
4244,Venture - Series Unknown
4245,Post-IPO Equity
4246,Private Equity
4247,Series C
4248,Seed
4249,Non-equity Assistance
4250,Debt Financing
4251,Series A
4252,Venture - Series Unknown
4253,Post-IPO Equity
4254,Non-equity Assistance
4255,Seed
4256,Angel
4257,Series A
4258,Angel
4259,Non-equity Assistance
4260,Seed
4261,Seed
4262,Convertible Note
4263,Post-IPO Equity
4264,Venture - Series Unknown
4265,Post-IPO Equity
4266,Seed
4267,Series C
4268,Seed
4269,Series A
4270,Series B
4271,Angel
4272,Post-IPO Debt
4273,Seed
4274,Venture - Series Unknown
4275,Venture - Series Unknown
4276,Series A
4277,Pre-Seed
4278,Grant
4279,Venture - Series Unknown
4280,Angel
4281,Private Equity
4282,Venture - Series Unknown
4283,Series B
4284,Seed
4285,Venture - Series Unknown
4286,Seed
4287,Seed
4288,Angel
4289,Debt Financing
4290,Angel
4291,Seed
4292,Venture - Series Unknown
4293,Seed
4294,Post-IPO Equity
4295,Venture - Series Unknown
4296,Series B
4297,Series C
4298,Private Equity
4299,Series B
4300,Convertible Note
4301,Series A
4302,Series A
4303,Series B
4304,Grant
4305,Series B
4306,Venture - Series Unknown
4307,Series A
4308,Venture - Series Unknown
4309,Venture - Series Unknown
4310,Post-IPO Equity
4311,Seed
4312,Debt Financing
4313,Seed
4314,Series B
4315,Seed
4316,Seed
4317,Debt Financing
4318,Seed
4319,Venture - Series Unknown
4320,Seed
4321,Venture - Series Unknown
4322,Venture - Series Unknown
4323,Seed
4324,Pre-Seed
4325,Series A
4326,Series A
4327,Seed
4328,Venture - Series Unknown
4329,Venture - Series Unknown
4330,Venture - Series Unknown
4331,Series A
4332,Series A
4333,Series C
4334,Venture - Series Unknown
4335,Series A
4336,Post-IPO Equity
4337,Angel
4338,Series C
4339,Angel
4340,Angel
4341,Seed
4342,Grant
4343,Angel
4344,Series A
4345,Grant
4346,Series A
4347,Seed
4348,Angel
4349,Equity Crowdfunding
4350,Series A
4351,Series A
4352,Venture - Series Unknown
4353,Venture - Series Unknown
4354,Series B
4355,Private Equity
4356,Venture - Series Unknown
4357,Series A
4358,Series A
4359,Series C
4360,Venture - Series Unknown
4361,Seed
4362,Seed
4363,Series C
4364,Series B
4365,Series A
4366,Angel
4367,Venture - Series Unknown
4368,Grant
4369,Series A
4370,Angel
4371,Seed
4372,Seed
4373,Seed
4374,Series A
4375,Seed
4376,Venture - Series Unknown
4377,Venture - Series Unknown
4378,Convertible Note
4379,Convertible Note
4380,Angel
4381,Pre-Seed
4382,Angel
4383,Grant
4384,Private Equity
4385,Seed
4386,Series A
4387,Angel
4388,Seed
4389,Debt Financing
4390,Seed
4391,Seed
4392,Equity Crowdfunding
4393,Series B
4394,Seed
4395,Series A
4396,Series A
4397,Angel
4398,Post-IPO Equity
4399,Seed
4400,Post-IPO Debt
4401,Venture - Series Unknown
4402,Convertible Note
4403,Seed
4404,Series A
4405,Venture - Series Unknown
4406,Seed
4407,Venture - Series Unknown
4408,Pre-Seed
4409,Convertible Note
4410,Series A
4411,Seed
4412,Seed
4413,Seed
4414,Venture - Series Unknown
4415,Private Equity
4416,Post-IPO Debt
4417,Seed
4418,Series B
4419,Series A
4420,Grant
4421,Venture - Series Unknown
4422,Seed
4423,Series A
4424,Seed
4425,Seed
4426,Series A
4427,Series A
4428,Venture - Series Unknown
4429,Seed
4430,Seed
4431,Venture - Series Unknown
4432,Seed
4433,Series C
4434,Series A
4435,Seed
4436,Seed
4437,Series A
4438,Series A
4439,Venture - Series Unknown
4440,Seed
4441,Seed
4442,Venture - Series Unknown
4443,Seed
4444,Series C
4445,Series A
4446,Debt Financing
4447,Seed
4448,Venture - Series Unknown
4449,Series A
4450,Venture - Series Unknown
4451,Series A
4452,Series B
4453,Angel
4454,Post-IPO Equity
4455,Seed
4456,Venture - Series Unknown
4457,Seed
4458,Seed
4459,Seed
4460,Pre-Seed
4461,Venture - Series Unknown
4462,Non-equity Assistance
4463,Seed
4464,Series B
4465,Equity Crowdfunding
4466,Venture - Series Unknown
4467,Pre-Seed
4468,Post-IPO Debt
4469,Private Equity
4470,Seed
4471,Seed
4472,Series A
4473,Series A
4474,Venture - Series Unknown
4475,Seed
4476,Seed
4477,Venture - Series Unknown
4478,Seed
4479,Series C
4480,Series A
4481,Debt Financing
4482,Seed
4483,Venture - Series Unknown
4484,Series A
4485,Venture - Series Unknown
4486,Series A
4487,Series B
4488,Angel
4489,Post-IPO Equity
4490,Seed
4491,Venture - Series Unknown
4492,Seed
4493,Seed
4494,Seed
4495,Pre-Seed
4496,Venture - Series Unknown
4497,Non-equity Assistance
4498,Seed
4499,Series B
4500,Equity Crowdfunding
4501,Venture - Series Unknown
4502,Pre-Seed
4503,Post-IPO Debt
4504,Private Equity
4505,Grant
4506,Seed
4507,Angel
4508,Venture - Series Unknown
4509,Angel
4510,Seed
4511,Seed
4512,Seed
4513,Venture - Series Unknown
4514,Seed
4515,Pre-Seed
4516,Seed
4517,Series B
4518,Seed
4519,Seed
4520,Series A
4521,Seed
4522,Seed
4523,Seed
4524,Pre-Seed
4525,Angel
4526,Seed
4527,Series A
4528,Convertible Note
4529,Seed
4530,Pre-Seed
4531,Seed
4532,Seed
4533,Seed
4534,Grant
4535,Seed
4536,Seed
4537,Seed
4538,Seed
4539,Seed
4540,Grant
4541,Non-equity Assistance
4542,Seed
4543,Grant
4544,Seed
4545,Seed
4546,Convertible Note
4547,Venture - Series Unknown
4548,Convertible Note
4549,Post-IPO Equity
4550,Grant
4551,Seed
4552,Seed
4553,Venture - Series Unknown
4554,Venture - Series Unknown
4555,Grant
4556,Series A
4557,Seed
4558,Grant
4559,Pre-Seed
4560,Angel
4561,Series E
4562,Angel
4563,Private Equity
4564,Seed
4565,Grant
4566,Venture - Series Unknown
4567,Convertible Note
4568,Grant
4569,Seed
4570,Angel
4571,Private Equity
4572,Series A
4573,Series A
4574,Grant
4575,Seed
4576,Venture - Series Unknown
4577,Seed
4578,Seed
4579,Grant
4580,Series D
4581,Funding Round
4582,Seed
4583,Venture - Series Unknown
4584,Product Crowdfunding
4585,Seed
4586,Seed
4587,Grant
4588,Series A
4589,Series A
4590,Series C
4591,Grant
4592,Seed
4593,Venture - Series Unknown
4594,Venture - Series Unknown
4595,Series A
4596,Series A
4597,Series B
4598,Series A
4599,Debt Financing
4600,Debt Financing
4601,Grant
4602,Post-IPO Equity
4603,Seed
4604,Seed
4605,Private Equity
4606,Series A
4607,Seed
4608,Series B
4609,Angel
4610,Venture - Series Unknown
4611,Series A
4612,Debt Financing
4613,Product Crowdfunding
4614,Venture - Series Unknown
4615,Seed
4616,Seed
4617,Angel
4618,Seed
4619,Convertible Note
4620,Convertible Note
4621,Seed
4622,Seed
4623,Seed
4624,Grant
4625,Seed
4626,Angel
4627,Seed
4628,Angel
4629,Series C
4630,Grant
4631,Seed
4632,Grant
4633,Pre-Seed
4634,Venture - Series Unknown
4635,Private Equity
4636,Venture - Series Unknown
4637,Product Crowdfunding
4638,Convertible Note
4639,Venture - Series Unknown
4640,Venture - Series Unknown
4641,Pre-Seed
4642,Seed
4643,Series A
4644,Grant
4645,Debt Financing
4646,Convertible Note
4647,Convertible Note
4648,Series D
4649,Grant
4650,Seed
4651,Debt Financing
4652,Seed
4653,Venture - Series Unknown
4654,Private Equity
4655,Grant
4656,Angel
4657,Seed
4658,Angel
4659,Series B
4660,Series B
4661,Seed
4662,Venture - Series Unknown
4663,Debt Financing
4664,Series B
4665,Venture - Series Unknown
4666,Venture - Series Unknown
4667,Seed
4668,Series A
4669,Seed
4670,Post-IPO Debt
4671,Grant
4672,Equity Crowdfunding
4673,Venture - Series Unknown
4674,Series A
4675,Grant
4676,Corporate Round
4677,Series A
4678,Seed
4679,Seed
4680,Series B
4681,Debt Financing
4682,Series C
4683,Grant
4684,Series A
4685,Series A
4686,Angel
4687,Seed
4688,Grant
4689,Seed
4690,Series A
4691,Series C
4692,Venture - Series Unknown
4693,Series B
4694,Pre-Seed
4695,Venture - Series Unknown
4696,Series E
4697,Series A
4698,Seed
4699,Equity Crowdfunding
4700,Private Equity
4701,Venture - Series Unknown
4702,Series B
4703,Pre-Seed
4704,Seed
4705,Post-IPO Equity
4706,Venture - Series Unknown
4707,Seed
4708,Venture - Series Unknown
4709,Series A
4710,Seed
4711,Convertible Note
4712,Seed
4713,Series C
4714,Seed
4715,Seed
4716,Angel
4717,Series A
4718,Angel
4719,Grant
4720,Seed
4721,Venture - Series Unknown
4722,Venture - Series Unknown
4723,Series A
4724,Debt Financing
4725,Venture - Series Unknown
4726,Series B
4727,Series A
4728,Grant
4729,Series C
4730,Series A
4731,Pre-Seed
4732,Venture - Series Unknown
4733,Grant
4734,Private Equity
4735,Series C
4736,Grant
4737,Venture - Series Unknown
4738,Seed
4739,Private Equity
4740,Seed
4741,Angel
4742,Series A
4743,Seed
4744,Venture - Series Unknown
4745,Venture - Series Unknown
4746,Venture - Series Unknown
4747,Seed
4748,Seed
4749,Venture - Series Unknown
4750,Seed
4751,Series A
4752,Seed
4753,Venture - Series Unknown
4754,Seed
4755,Series A
4756,Grant
4757,Grant
4758,Venture - Series Unknown
4759,Venture - Series Unknown
4760,Venture - Series Unknown
4761,Venture - Series Unknown
4762,Venture - Series Unknown
4763,Seed
4764,Venture - Series Unknown
4765,Angel
4766,Series A
4767,Pre-Seed
4768,Series A
4769,Pre-Seed
4770,Equity Crowdfunding
4771,Seed
4772,Debt Financing
4773,Series C
4774,Seed
4775,Seed
4776,Post-IPO Equity
4777,Seed
4778,Series B
4779,Debt Financing
4780,Angel
4781,Seed
4782,Venture - Series Unknown
4783,Seed
4784,Seed
4785,Pre-Seed
4786,Venture - Series Unknown
4787,Series C
4788,Venture - Series Unknown
4789,Series C
4790,Seed
4791,Seed
4792,Seed
4793,Angel
4794,Seed
4795,Venture - Series Unknown
4796,Series A
4797,Venture - Series Unknown
4798,Angel
4799,Seed
4800,Debt Financing
4801,Debt Financing
4802,Seed
4803,Convertible Note
4804,Debt Financing
4805,Private Equity
4806,Venture - Series Unknown
4807,Seed
4808,Series C
4809,Venture - Series Unknown
4810,Series A
4811,Debt Financing
4812,Series B
4813,Series B
4814,Seed
4815,Seed
4816,Grant
4817,Series D
4818,Grant
4819,Venture - Series Unknown
4820,Venture - Series Unknown
4821,Seed
4822,Grant
4823,Seed
4824,Convertible Note
4825,Series A
4826,Series A
4827,Seed
4828,Seed
4829,Seed
4830,Seed
4831,Seed
4832,Seed
4833,Venture - Series Unknown
4834,Equity Crowdfunding
4835,Funding Round
4836,Debt Financing
4837,Seed
4838,Series A
4839,Venture - Series Unknown
4840,Pre-Seed
4841,Debt Financing
4842,Venture - Series Unknown
4843,Debt Financing
4844,Venture - Series Unknown
4845,Seed
4846,Angel
4847,Post-IPO Debt
4848,Debt Financing
4849,Debt Financing
4850,Debt Financing
4851,Debt Financing
4852,Angel
4853,Debt Financing
4854,Series A
4855,Seed
4856,Seed
4857,Series D
4858,Debt Financing
4859,Series B
4860,Debt Financing
4861,Seed
4862,Debt Financing
4863,Debt Financing
4864,Seed
4865,Venture - Series Unknown
4866,Convertible Note
4867,Convertible Note
4868,Funding Round
4869,Post-IPO Equity
4870,Grant
4871,Venture - Series Unknown
4872,Series B
4873,Funding Round
4874,Series A
4875,Series A
4876,Seed
4877,Venture - Series Unknown
4878,Seed
4879,Grant
4880,Seed
4881,Series B
4882,Angel
4883,Series A
4884,Series A
4885,Venture - Series Unknown
4886,Series A
4887,Seed
4888,Angel
4889,Non-equity Assistance
4890,Non-equity Assistance
4891,Seed
4892,Seed
4893,Grant
4894,Seed
4895,Debt Financing
4896,Grant
4897,Grant
4898,Series B
4899,Series C
4900,Grant
4901,Series C
4902,Series A
4903,Seed
4904,Grant
4905,Angel
4906,Post-IPO Equity
4907,Angel
4908,Grant
4909,Grant
4910,Grant
4911,Angel
4912,Grant
4913,Grant
4914,Non-equity Assistance
4915,Grant
4916,Grant
4917,Seed
4918,Series A
4919,Seed
4920,Grant
4921,Non-equity Assistance
4922,Seed
4923,Venture - Series Unknown
4924,Grant
4925,Seed
4926,Grant
4927,Convertible Note
4928,Non-equity Assistance
4929,Grant
4930,Seed
4931,Pre-Seed
4932,Funding Round
4933,Private Equity
4934,Seed
4935,Grant
4936,Seed
4937,Venture - Series Unknown
4938,Seed
4939,Grant
4940,Pre-Seed
4941,Angel
4942,Grant
4943,Series A
4944,Convertible Note
4945,Seed
4946,Seed
4947,Convertible Note
4948,Grant
4949,Seed
4950,Grant
4951,Angel
4952,Seed
4953,Grant
4954,Pre-Seed
4955,Grant
4956,Seed
4957,Convertible Note
4958,Seed
4959,Series A
4960,Grant
4961,Series B
4962,Seed
4963,Private Equity
4964,Grant
4965,Grant
4966,Grant
4967,Angel
4968,Debt Financing
4969,Venture - Series Unknown
4970,Non-equity Assistance
4971,Seed
4972,Seed
4973,Seed
4974,Venture - Series Unknown
4975,Pre-Seed
4976,Venture - Series Unknown
4977,Convertible Note
4978,Venture - Series Unknown
4979,Debt Financing
4980,Series C
4981,Angel
4982,Venture - Series Unknown
4983,Seed
4984,Convertible Note
4985,Angel
4986,Seed
4987,Venture - Series Unknown
4988,Venture - Series Unknown
4989,Seed
4990,Venture - Series Unknown
4991,Post-IPO Equity
4992,Series B
4993,Angel
4994,Venture - Series Unknown
4995,Angel
4996,Grant
4997,Angel
4998,Convertible Note
4999,Series B
5000,Post-IPO Equity
5001,Post-IPO Equity
5002,Seed
5003,Grant
5004,Seed
5005,Convertible Note
5006,Venture - Series Unknown
5007,Venture - Series Unknown
5008,Venture - Series Unknown
5009,Seed
5010,Seed
5011,Series C
5012,Seed
5013,Pre-Seed
5014,Seed
5015,Post-IPO Equity
5016,Post-IPO Equity
5017,Series D
5018,Debt Financing
5019,Post-IPO Equity
5020,Seed
5021,Series A
5022,Seed
5023,Seed
5024,Series A
5025,Post-IPO Equity
5026,Venture - Series Unknown
5027,Debt Financing
5028,Series A
5029,Series A
5030,Seed
5031,Corporate Round
5032,Venture - Series Unknown
5033,Series A
5034,Debt Financing
5035,Seed
5036,Seed
5037,Convertible Note
5038,Convertible Note
5039,Venture - Series Unknown
5040,Seed
5041,Venture - Series Unknown
5042,Debt Financing
5043,Series B
5044,Venture - Series Unknown
5045,Venture - Series Unknown
5046,Venture - Series Unknown
5047,Post-IPO Debt
5048,Debt Financing
5049,Venture - Series Unknown
5050,Seed
5051,Debt Financing
5052,Seed
5053,Series B
5054,Seed
5055,Venture - Series Unknown
5056,Seed
5057,Convertible Note
5058,Seed
5059,Venture - Series Unknown
5060,Debt Financing
5061,Venture - Series Unknown
5062,Seed
5063,Post-IPO Debt
5064,Grant
5065,Venture - Series Unknown
5066,Debt Financing
5067,Venture - Series Unknown
5068,Funding Round
5069,Equity Crowdfunding
5070,Seed
5071,Seed
5072,Angel
5073,Venture - Series Unknown
5074,Venture - Series Unknown
5075,Seed
5076,Debt Financing
5077,Venture - Series Unknown
5078,Seed
5079,Angel
5080,Series C
5081,Venture - Series Unknown
5082,Venture - Series Unknown
5083,Debt Financing
5084,Seed
5085,Series C
5086,Seed
5087,Post-IPO Equity
5088,Seed
5089,Series D
5090,Venture - Series Unknown
5091,Series C
5092,Venture - Series Unknown
5093,Convertible Note
5094,Venture - Series Unknown
5095,Convertible Note
5096,Series A
5097,Venture - Series Unknown
5098,Seed
5099,Seed
5100,Venture - Series Unknown
5101,Post-IPO Debt
5102,Venture - Series Unknown
5103,Venture - Series Unknown
5104,Series A
5105,Seed
5106,Seed
5107,Series A
5108,Seed
5109,Series A
5110,Equity Crowdfunding
5111,Seed
5112,Venture - Series Unknown
5113,Seed
5114,Seed
5115,Seed
5116,Seed
5117,Series A
5118,Grant
5119,Seed
5120,Series B
5121,Series A
5122,Venture - Series Unknown
5123,Series C
5124,Seed
5125,Angel
5126,Equity Crowdfunding
5127,Seed
5128,Pre-Seed
5129,Seed
5130,Post-IPO Equity
5131,Series A
5132,Seed
5133,Series B
5134,Seed
5135,Venture - Series Unknown
5136,Venture - Series Unknown
5137,Post-IPO Equity
5138,Seed
5139,Series A
5140,Angel
5141,Venture - Series Unknown
5142,Seed
5143,Debt Financing
5144,Product Crowdfunding
5145,Venture - Series Unknown
5146,Angel
5147,Venture - Series Unknown
5148,Series B
5149,Convertible Note
5150,Pre-Seed
5151,Seed
5152,Pre-Seed
5153,Series A
5154,Seed
5155,Seed
5156,Grant
5157,Series A
5158,Seed
5159,Post-IPO Debt
5160,Venture - Series Unknown
5161,Venture - Series Unknown
5162,Debt Financing
5163,Series A
5164,Debt Financing
5165,Post-IPO Debt
5166,Seed
5167,Seed
5168,Seed
5169,Series B
5170,Seed
5171,Seed
5172,Seed
5173,Debt Financing
5174,Series A
5175,Seed
5176,Funding Round
5177,Venture - Series Unknown
5178,Series A
5179,Angel
5180,Venture - Series Unknown
5181,Series A
5182,Seed
5183,Seed
5184,Post-IPO Equity
5185,Venture - Series Unknown
5186,Venture - Series Unknown
5187,Convertible Note
5188,Seed
5189,Venture - Series Unknown
5190,Seed
5191,Series A
5192,Series B
5193,Venture - Series Unknown
5194,Private Equity
5195,Seed
5196,Seed
5197,Funding Round
5198,Seed
5199,Debt Financing
5200,Debt Financing
5201,Seed
5202,Series A
5203,Venture - Series Unknown
5204,Series B
5205,Seed
5206,Venture - Series Unknown
5207,Venture - Series Unknown
5208,Seed
5209,Venture - Series Unknown
5210,Private Equity
5211,Grant
5212,Venture - Series Unknown
5213,Seed
5214,Seed
5215,Seed
5216,Seed
5217,Angel
5218,Seed
5219,Seed
5220,Series B
5221,Seed
5222,Seed
5223,Venture - Series Unknown
5224,Pre-Seed
5225,Seed
5226,Series C
5227,Private Equity
5228,Convertible Note
5229,Post-IPO Equity
5230,Venture - Series Unknown
5231,Series C
5232,Series A
5233,Seed
5234,Series C
5235,Convertible Note
5236,Venture - Series Unknown
5237,Series A
5238,Venture - Series Unknown
5239,Seed
5240,Series B
5241,Funding Round
5242,Venture - Series Unknown
5243,Seed
5244,Venture - Series Unknown
5245,Series A
5246,Seed
5247,Seed
5248,Series B
5249,Grant
5250,Venture - Series Unknown
5251,Venture - Series Unknown
5252,Seed
5253,Series A
5254,Post-IPO Equity
5255,Seed
5256,Series B
5257,Angel
5258,Venture - Series Unknown
5259,Grant
5260,Venture - Series Unknown
5261,Convertible Note
5262,Equity Crowdfunding
5263,Venture - Series Unknown
5264,Seed
5265,Post-IPO Debt
5266,Venture - Series Unknown
5267,Debt Financing
5268,Venture - Series Unknown
5269,Debt Financing
5270,Debt Financing
5271,Angel
5272,Seed
5273,Venture - Series Unknown
5274,Convertible Note
5275,Series A
5276,Seed
5277,Grant
5278,Seed
5279,Corporate Round
5280,Venture - Series Unknown
5281,Venture - Series Unknown
5282,Seed
5283,Convertible Note
5284,Seed
5285,Venture - Series Unknown
5286,Pre-Seed
5287,Seed
5288,Convertible Note
5289,Seed
5290,Seed
5291,Series C
5292,Angel
5293,Angel
5294,Seed
5295,Angel
5296,Series A
5297,Seed
5298,Grant
5299,Series C
5300,Angel
5301,Convertible Note
5302,Venture - Series Unknown
5303,Grant
5304,Angel
5305,Grant
5306,Seed
5307,Angel
5308,Pre-Seed
5309,Seed
5310,Pre-Seed
5311,Seed
5312,Seed
5313,Funding Round
5314,Venture - Series Unknown
5315,Seed
5316,Seed
5317,Seed
5318,Grant
5319,Seed
5320,Angel
5321,Angel
5322,Venture - Series Unknown
5323,Seed
5324,Venture - Series Unknown
5325,Seed
5326,Grant
5327,Seed
5328,Convertible Note
5329,Venture - Series Unknown
5330,Seed
5331,Angel
5332,Seed
5333,Angel
5334,Debt Financing
5335,Post-IPO Equity
5336,Venture - Series Unknown
5337,Debt Financing
5338,Pre-Seed
5339,Non-equity Assistance
5340,Private Equity
5341,Venture - Series Unknown
5342,Venture - Series Unknown
5343,Convertible Note
5344,Seed
5345,Series B
5346,Debt Financing
5347,Non-equity Assistance
5348,Seed
5349,Angel
5350,Seed
5351,Venture - Series Unknown
5352,Venture - Series Unknown
5353,Seed
5354,Seed
5355,Venture - Series Unknown
5356,Venture - Series Unknown
5357,Seed
5358,Debt Financing
5359,Series C
5360,Seed
5361,Debt Financing
5362,Venture - Series Unknown
5363,Venture - Series Unknown
5364,Angel
5365,Debt Financing
5366,Series A
5367,Seed
5368,Private Equity
5369,Series A
5370,Convertible Note
5371,Debt Financing
5372,Series E
5373,Series C
5374,Venture - Series Unknown
5375,Debt Financing
5376,Angel
5377,Series B
5378,Angel
5379,Seed
5380,Venture - Series Unknown
5381,Venture - Series Unknown
5382,Series B
5383,Post-IPO Equity
5384,Seed
5385,Venture - Series Unknown
5386,Series B
5387,Private Equity
5388,Venture - Series Unknown
5389,Series G
5390,Seed
5391,Seed
5392,Seed
5393,Grant
5394,Venture - Series Unknown
5395,Series F
5396,Series A
5397,Non-equity Assistance
5398,Angel
5399,Seed
5400,Post-IPO Equity
5401,Venture - Series Unknown
5402,Debt Financing
5403,Seed
5404,Non-equity Assistance
5405,Venture - Series Unknown
5406,Angel
5407,Equity Crowdfunding
5408,Seed
5409,Seed
5410,Debt Financing
5411,Seed
5412,Seed
5413,Venture - Series Unknown
5414,Post-IPO Equity
5415,Venture - Series Unknown
5416,Post-IPO Equity
5417,Series A
5418,Seed
5419,Seed
5420,Seed
5421,Series A
5422,Venture - Series Unknown
5423,Seed
5424,Seed
5425,Debt Financing
5426,Series B
5427,Venture - Series Unknown
5428,Equity Crowdfunding
5429,Seed
5430,Angel
5431,Angel
5432,Series A
5433,Venture - Series Unknown
5434,Equity Crowdfunding
5435,Series B
5436,Venture - Series Unknown
5437,Seed
5438,Seed
5439,Series B
5440,Venture - Series Unknown
5441,Venture - Series Unknown
5442,Venture - Series Unknown
5443,Series B
5444,Venture - Series Unknown
5445,Angel
5446,Venture - Series Unknown
5447,Seed
5448,Venture - Series Unknown
5449,Venture - Series Unknown
5450,Post-IPO Equity
5451,Seed
5452,Series A
5453,Venture - Series Unknown
5454,Venture - Series Unknown
5455,Venture - Series Unknown
5456,Angel
5457,Venture - Series Unknown
5458,Seed
5459,Venture - Series Unknown
5460,Venture - Series Unknown
5461,Post-IPO Equity
5462,Seed
5463,Series A
5464,Venture - Series Unknown
5465,Venture - Series Unknown
5466,Convertible Note
5467,Seed
5468,Private Equity
5469,Series A
5470,Debt Financing
5471,Series A
5472,Post-IPO Equity
5473,Series A
5474,Series B
5475,Venture - Series Unknown
5476,Debt Financing
5477,Series A
5478,Seed
5479,Seed
5480,Post-IPO Equity
5481,Venture - Series Unknown
5482,Seed
5483,Post-IPO Equity
5484,Series B
5485,Seed
5486,Venture - Series Unknown
5487,Seed
5488,Series B
5489,Venture - Series Unknown
5490,Venture - Series Unknown
5491,Angel
5492,Venture - Series Unknown
5493,Seed
5494,Venture - Series Unknown
5495,Venture - Series Unknown
5496,Post-IPO Equity
5497,Seed
5498,Series A
5499,Venture - Series Unknown
5500,Venture - Series Unknown
5501,Convertible Note
5502,Seed
5503,Private Equity
5504,Series A
5505,Debt Financing
5506,Series A
5507,Post-IPO Equity
5508,Series A
5509,Series B
5510,Venture - Series Unknown
5511,Debt Financing
5512,Series A
5513,Seed
5514,Seed
5515,Post-IPO Equity
5516,Venture - Series Unknown
5517,Seed
5518,Post-IPO Equity
5519,Series B
5520,Seed
5521,Venture - Series Unknown
5522,Seed
5523,Series B
5524,Venture - Series Unknown
5525,Venture - Series Unknown
5526,Post-IPO Equity
5527,Venture - Series Unknown
5528,Venture - Series Unknown
5529,Series A
5530,Angel
5531,Angel
5532,Debt Financing
5533,Debt Financing
5534,Series C
5535,Equity Crowdfunding
5536,Series B
5537,Pre-Seed
5538,Debt Financing
5539,Post-IPO Equity
5540,Venture - Series Unknown
5541,Series E
5542,Venture - Series Unknown
5543,Seed
5544,Angel
5545,Series D
5546,Seed
5547,Venture - Series Unknown
5548,Venture - Series Unknown
5549,Seed
5550,Series A
5551,Product Crowdfunding
5552,Venture - Series Unknown
5553,Angel
5554,Post-IPO Equity
5555,Series B
5556,Convertible Note
5557,Equity Crowdfunding
5558,Series A
5559,Debt Financing
5560,Seed
5561,Seed
5562,Venture - Series Unknown
5563,Seed
5564,Seed
5565,Series A
5566,Series B
5567,Debt Financing
5568,Post-IPO Equity
5569,Seed
5570,Post-IPO Equity
5571,Series B
5572,Series B
5573,Series A
5574,Seed
5575,Debt Financing
5576,Grant
5577,Seed
5578,Venture - Series Unknown
5579,Series A
5580,Debt Financing
5581,Series A
5582,Series B
5583,Venture - Series Unknown
5584,Series C
5585,Seed
5586,Seed
5587,Post-IPO Equity
5588,Equity Crowdfunding
5589,Venture - Series Unknown
5590,Series A
5591,Angel
5592,Grant
5593,Seed
5594,Grant
5595,Venture - Series Unknown
5596,Series C
5597,Series A
5598,Equity Crowdfunding
5599,Series A
5600,Seed
5601,Venture - Series Unknown
5602,Venture - Series Unknown
5603,Venture - Series Unknown
5604,Angel
5605,Debt Financing
5606,Series B
5607,Series B
5608,Post-IPO Equity
5609,Series A
5610,Venture - Series Unknown
5611,Convertible Note
5612,Debt Financing
5613,Seed
5614,Series A
5615,Debt Financing
5616,Seed
5617,Seed
5618,Seed
5619,Equity Crowdfunding
5620,Venture - Series Unknown
5621,Post-IPO Equity
5622,Series B
5623,Series C
5624,Series A
5625,Seed
5626,Series A
5627,Venture - Series Unknown
5628,Equity Crowdfunding
5629,Grant
5630,Venture - Series Unknown
5631,Venture - Series Unknown
5632,Post-IPO Equity
5633,Venture - Series Unknown
5634,Seed
5635,Venture - Series Unknown
5636,Angel
5637,Venture - Series Unknown
5638,Grant
5639,Debt Financing
5640,Seed
5641,Venture - Series Unknown
5642,Venture - Series Unknown
5643,Series D
5644,Venture - Series Unknown
5645,Venture - Series Unknown
5646,Venture - Series Unknown
5647,Angel
5648,Seed
5649,Seed
5650,Pre-Seed
5651,Debt Financing
5652,Equity Crowdfunding
5653,Series C
5654,Seed
5655,Series A
5656,Venture - Series Unknown
5657,Series A
5658,Convertible Note
5659,Seed
5660,Post-IPO Equity
5661,Seed
5662,Convertible Note
5663,Seed
5664,Convertible Note
5665,Seed
5666,Post-IPO Equity
5667,Venture - Series Unknown
5668,Venture - Series Unknown
5669,Seed
5670,Non-equity Assistance
5671,Post-IPO Debt
5672,Funding Round
5673,Seed
5674,Venture - Series Unknown
5675,Grant
5676,Series A
5677,Series A
5678,Series A
5679,Venture - Series Unknown
5680,Angel
5681,Angel
5682,Seed
5683,Angel
5684,Angel
5685,Angel
5686,Angel
5687,Venture - Series Unknown
5688,Pre-Seed
5689,Series A
5690,Convertible Note
5691,Debt Financing
5692,Series A
5693,Seed
5694,Seed
5695,Pre-Seed
5696,Seed
5697,Seed
5698,Series C
5699,Seed
5700,Non-equity Assistance
5701,Seed
5702,Seed
5703,Grant
5704,Seed
5705,Post-IPO Equity
5706,Seed
5707,Angel
5708,Seed
5709,Seed
5710,Series A
5711,Convertible Note
5712,Seed
5713,Grant
5714,Private Equity
5715,Venture - Series Unknown
5716,Seed
5717,Private Equity
5718,Grant
5719,Pre-Seed
5720,Venture - Series Unknown
5721,Seed
5722,Series A
5723,Debt Financing
5724,Grant
5725,Series B
5726,Grant
5727,Post-IPO Equity
5728,Private Equity
5729,Grant
5730,Seed
5731,Angel
5732,Equity Crowdfunding
5733,Seed
5734,Seed
5735,Grant
5736,Seed
5737,Seed
5738,Seed
5739,Venture - Series Unknown
5740,Seed
5741,Grant
5742,Grant
5743,Grant
5744,Equity Crowdfunding
