,Funding type
387,Venture - Series Unknown
388,Series E
389,Seed
390,Venture - Series Unknown
391,Seed
392,Post-IPO Equity
393,Seed
394,Venture - Series Unknown
395,Debt Financing
396,Convertible Note
397,Seed
398,Seed
399,Seed
400,Private Equity
401,Corporate Round
402,Corporate Round
403,Debt Financing
404,Venture - Series Unknown
405,Series A
406,Venture - Series Unknown
407,Post-IPO Equity
408,Post-IPO Equity
409,Venture - Series Unknown
410,Venture - Series Unknown
411,Series A
412,Grant
413,Grant
414,Debt Financing
415,Venture - Series Unknown
416,Grant
417,Seed
418,Seed
419,Series C
420,Debt Financing
421,Seed
422,Pre-Seed
423,Debt Financing
424,Series A
425,Debt Financing
426,Series A
427,Series A
428,Angel
429,Series A
430,Angel
431,Series A
432,Seed
433,Equity Crowdfunding
434,Venture - Series Unknown
435,Venture - Series Unknown
436,Post-IPO Equity
437,Grant
438,Grant
439,Convertible Note
440,Series B
441,Angel
442,Seed
443,Angel
444,Venture - Series Unknown
445,Series C
446,Funding Round
447,Venture - Series Unknown
448,Series B
449,Series B
450,Seed
451,Seed
452,Grant
453,Venture - Series Unknown
454,Angel
455,Venture - Series Unknown
456,Grant
457,Seed
458,Series A
459,Convertible Note
460,Angel
461,Series A
462,Seed
463,Series A
464,Series A
465,Grant
466,Corporate Round
467,Funding Round
468,Seed
469,Grant
470,Seed
471,Seed
472,Non-equity Assistance
473,Seed
474,Seed
475,Venture - Series Unknown
476,Grant
477,Funding Round
478,Grant
479,Private Equity
480,Series A
481,Seed
482,Grant
483,Private Equity
484,Seed
485,Series A
486,Post-IPO Equity
487,Grant
488,Grant
489,Seed
490,Private Equity
491,Grant
492,Angel
493,Venture - Series Unknown
494,Seed
495,Grant
496,Angel
497,Grant
498,Grant
499,Debt Financing
500,Product Crowdfunding
501,Seed
502,Venture - Series Unknown
503,Seed
504,Seed
505,Debt Financing
506,Series A
507,Series B
508,Seed
509,Series A
510,Seed
511,Debt Financing
512,Corporate Round
513,Seed
514,Debt Financing
515,Angel
516,Angel
517,Series H
518,Venture - Series Unknown
519,Seed
520,Venture - Series Unknown
521,Grant
522,Series E
523,Series A
524,Venture - Series Unknown
525,Grant
526,Seed
527,Seed
528,Venture - Series Unknown
529,Grant
530,Venture - Series Unknown
531,Venture - Series Unknown
532,Seed
533,Seed
534,Venture - Series Unknown
535,Debt Financing
536,Seed
537,Venture - Series Unknown
538,Venture - Series Unknown
539,Venture - Series Unknown
540,Series A
541,Venture - Series Unknown
542,Post-IPO Equity
543,Grant
544,Series A
545,Venture - Series Unknown
546,Venture - Series Unknown
547,Private Equity
548,Series B
549,Venture - Series Unknown
550,Seed
551,Post-IPO Debt
552,Series A
553,Convertible Note
554,Series A
555,Venture - Series Unknown
556,Convertible Note
557,Venture - Series Unknown
558,Venture - Series Unknown
559,Seed
560,Venture - Series Unknown
561,Angel
562,Angel
563,Post-IPO Equity
564,Seed
565,Series A
566,Series A
567,Series B
568,Venture - Series Unknown
569,Grant
570,Venture - Series Unknown
571,Series A
572,Post-IPO Equity
573,Venture - Series Unknown
574,Angel
575,Series A
576,Seed
577,Seed
578,Venture - Series Unknown
579,Venture - Series Unknown
580,Private Equity
581,Product Crowdfunding
582,Venture - Series Unknown
583,Series A
584,Grant
585,Series A
586,Series A
587,Private Equity
588,Angel
589,Series E
590,Debt Financing
591,Convertible Note
592,Series B
593,Pre-Seed
594,Debt Financing
595,Venture - Series Unknown
596,Venture - Series Unknown
597,Venture - Series Unknown
598,Seed
599,Series A
600,Series A
601,Series A
602,Private Equity
603,Angel
604,Series E
605,Debt Financing
606,Convertible Note
607,Series B
608,Pre-Seed
609,Debt Financing
610,Venture - Series Unknown
611,Venture - Series Unknown
612,Venture - Series Unknown
613,Seed
614,Series A
615,Series C
616,Private Equity
617,Venture - Series Unknown
618,Venture - Series Unknown
619,Post-IPO Equity
620,Series A
621,Post-IPO Debt
622,Series A
623,Series A
624,Series B
625,Series A
626,Series A
627,Private Equity
628,Angel
629,Series E
630,Debt Financing
631,Convertible Note
632,Series B
633,Pre-Seed
634,Debt Financing
635,Venture - Series Unknown
636,Venture - Series Unknown
637,Venture - Series Unknown
638,Seed
639,Series A
640,Series C
641,Private Equity
642,Venture - Series Unknown
643,Venture - Series Unknown
644,Post-IPO Equity
645,Series A
646,Post-IPO Debt
647,Series A
648,Series A
649,Series B
650,Seed
651,Series A
652,Seed
653,Venture - Series Unknown
654,Debt Financing
655,Convertible Note
656,Series A
657,Venture - Series Unknown
658,Debt Financing
659,Seed
660,Venture - Series Unknown
661,Series B
662,Debt Financing
663,Seed
664,Grant
665,Series A
666,Seed
667,Pre-Seed
668,Angel
669,Seed
670,Venture - Series Unknown
671,Funding Round
672,Angel
673,Venture - Series Unknown
674,Series A
675,Series A
676,Series B
677,Seed
678,Venture - Series Unknown
679,Debt Financing
680,Series B
681,Post-IPO Equity
682,Venture - Series Unknown
683,Series B
684,Seed
685,Series A
686,Series C
687,Venture - Series Unknown
688,Post-IPO Equity
689,Grant
690,Post-IPO Equity
691,Series A
692,Angel
693,Grant
694,Seed
695,Seed
696,Grant
697,Pre-Seed
698,Series B
699,Pre-Seed
700,Angel
701,Post-IPO Debt
702,Grant
703,Seed
704,Seed
705,Pre-Seed
706,Series A
707,Series A
708,Angel
709,Series A
710,Seed
711,Grant
712,Series A
713,Series A
714,Venture - Series Unknown
715,Grant
716,Seed
717,Venture - Series Unknown
718,Debt Financing
719,Post-IPO Debt
720,Venture - Series Unknown
721,Non-equity Assistance
722,Series A
723,Venture - Series Unknown
724,Seed
725,Pre-Seed
726,Venture - Series Unknown
727,Convertible Note
728,Pre-Seed
729,Non-equity Assistance
730,Series B
731,Seed
732,Seed
733,Grant
734,Seed
735,Seed
736,Venture - Series Unknown
737,Series A
738,Series B
739,Non-equity Assistance
740,Debt Financing
741,Grant
742,Seed
743,Pre-Seed
744,Venture - Series Unknown
745,Angel
746,Venture - Series Unknown
747,Series A
748,Angel
749,Series A
750,Seed
751,Seed
752,Series A
753,Venture - Series Unknown
754,Post-IPO Equity
755,Series B
756,Debt Financing
757,Series A
758,Series A
759,Seed
760,Venture - Series Unknown
761,Grant
762,Series A
763,Post-IPO Equity
764,Series A
765,Post-IPO Equity
766,Series B
767,Seed
768,Convertible Note
769,Angel
770,Angel
771,Non-equity Assistance
772,Venture - Series Unknown
773,Series A
774,Venture - Series Unknown
775,Venture - Series Unknown
776,Series A
777,Seed
778,Seed
779,Seed
780,Venture - Series Unknown
781,Venture - Series Unknown
782,Series B
783,Debt Financing
784,Venture - Series Unknown
785,Seed
786,Seed
787,Series D
788,Series B
789,Seed
790,Debt Financing
791,Series A
792,Seed
793,Seed
794,Grant
795,Seed
796,Seed
797,Series A
798,Series B
799,Series A
800,Venture - Series Unknown
801,Pre-Seed
802,Seed
803,Seed
804,Seed
805,Series A
806,Private Equity
807,Seed
808,Post-IPO Debt
809,Series C
810,Seed
811,Post-IPO Debt
812,Seed
813,Series B
814,Series A
815,Seed
816,Seed
817,Venture - Series Unknown
818,Series A
819,Post-IPO Equity
820,Venture - Series Unknown
821,Funding Round
822,Seed
823,Series D
824,Post-IPO Equity
825,Series A
826,Venture - Series Unknown
827,Venture - Series Unknown
828,Post-IPO Equity
829,Seed
830,Post-IPO Equity
831,Series A
832,Debt Financing
833,Grant
834,Grant
835,Seed
836,Debt Financing
837,Series C
838,Series B
839,Seed
840,Venture - Series Unknown
841,Series B
842,Series C
843,Venture - Series Unknown
844,Grant
845,Debt Financing
846,Venture - Series Unknown
847,Venture - Series Unknown
848,Seed
849,Seed
850,Seed
851,Grant
852,Series A
853,Venture - Series Unknown
854,Seed
855,Post-IPO Debt
856,Convertible Note
857,Angel
858,Seed
859,Venture - Series Unknown
860,Funding Round
861,Seed
862,Series B
863,Private Equity
864,Venture - Series Unknown
865,Series A
866,Series A
867,Seed
868,Series A
869,Venture - Series Unknown
870,Pre-Seed
871,Series A
872,Seed
873,Debt Financing
874,Debt Financing
875,Venture - Series Unknown
876,Series A
877,Venture - Series Unknown
878,Post-IPO Equity
879,Post-IPO Debt
880,Series B
881,Venture - Series Unknown
882,Series C
883,Seed
884,Pre-Seed
885,Seed
886,Pre-Seed
887,Series B
888,Venture - Series Unknown
889,Series A
890,Seed
891,Venture - Series Unknown
892,Series A
893,Funding Round
894,Venture - Series Unknown
