V1,V2,V3,V4,V5,V6,V7,V8,V9
0.00945001352058822,0.01451638836049266,0.013083028036581004,0.018046557736869116,0.011326840428099444,0.010256592103507817,0.017253346246410815,0.011837850547662577,0.012520711023137784
0.018179781396355905,0.027926230407239985,0.025168842650968914,0.03471741859316128,0.021790345299349305,0.019731454434936496,0.03319144873765979,0.022773429588073445,0.02408708315517601
0.021021246564366172,0.032291131094773586,0.029102722949867283,0.04014381841199971,0.025196158375384577,0.022815448209407972,0.03837934372808658,0.026332890880266323,0.02785187768866448
0.02176266719992862,0.0334300933768706,0.030129201411399752,0.041559776046862416,0.026084843063553038,0.023620153587274973,0.0397330690710633,0.027261664484005622,0.028834233296570613
0.022154761459637743,0.03403242659111184,0.030672047220748504,0.04230859734242407,0.026554817362565736,0.024045715605469094,0.0404489793630892,0.02775283931603992,0.029353744853861368
0.023441566027491,0.036009115216277136,0.03245355693448287,0.04476598644166774,0.028097188087611115,0.02544235152547867,0.042798357135311146,0.029364794240254018,0.031058684313151237
0.024221704284902976,0.03720752979998577,0.03353362750482042,0.04625584647421844,0.029032273542640503,0.02628907778500983,0.044222734646412805,0.030342063887017174,0.03209233054738641
0.0247872419035937,0.03807626238882658,0.03431658208407646,0.04733584083141934,0.029710129314571804,0.02690288504720452,0.04525525908182977,0.031050501362120363,0.03284163349381533
0.02519501638333378,0.03870266093403234,0.034881126577782515,0.048114572425371906,0.030198891990916826,0.02734546433420094,0.04599976316833566,0.03156131400430416,0.033381912939920766
0.025600812248083384,0.03932602032404026,0.03544293189669356,0.04888952587003114,0.03068528315594677,0.02778589614178239,0.04674065518968924,0.03206964812419006,0.03391957092205935
